,Title,Price,CPU Model,Style,Memory Storage Capacity,Switch Type,Brand,Average Battery Life (in hours),Data Transfer Rate,Manufacturer,Contact Type,Processor,Hard Drive,CPU Speed,Cover Material,Graphics Coprocessor,Domestic Shipping,Keyboard layout,Country of Origin,Series,Special Features,Item model number,Special Feature,Connectivity technologies,ASIN,Generation,Model Name,Screen Resolution,Theme,Material,Ink Color,Max Screen Resolution,Best Sellers Rank,Standing screen display size,International Shipping,Package Dimensions,Current Rating,Size,Operating Voltage,Date First Available,Cable Type,Hard Disk Size,Item Weight,Batteries,Department,Wireless Type,Material Type,Hardware Interface,Product Dimensions,Color,Number of USB 3.0 Ports,Screen Size,Item Thickness,Form Factor,RAM,Number of Keys,Connector Gender,Connector Type,Compatible Devices,Operation Mode,Manufacturer Part Number,Number of Buttons,Number of USB 2.0 Ports,Voltage,Ram Memory Installed Size,Keyboard Description,Operating System,Keyboard backlighting color support,Included Components,Water Resistance Level,Power Source,Customer Reviews,Language,Terminal,Chipset Brand,Is Discontinued By Manufacturer,Hardware Platform,Other display features,Number of Ports,Item Dimensions LxWxH,Connectivity Technology,Card Description
208,"The Joy Factory Arpeggio Bluetooth Fast Charging Keyboard for iPad and Mac AAE102, White",21,,,,,The Joy Factory,,,The Joy Factory,,,,,,,,,,,,AAE102,Fast Charging,,B00519DP2A,,,,,Plastic,,,#476 in Tablet Keyboards,,,,,,,"May 17, 2011",,,10.2 ounces,1 Lithium ion batteries required. (included),,,,,10.25 x 0.31 x 5 inches,Silver,,,,,,,,,Apple-ipad-2,,,,,,,Multimedia,,,,,,"7 ratings
3.2 out of 5 stars",,,,No,Tablet,,,10.25 x 0.31 x 5 inches,Bluetooth,
209,"Wireless Gaming Keyboard, Rechargeable RGB LED Backlit Quiet Keyboard with Sidelight & Metal Panel, MageGee V510 2.4G Wireless Ergonomic Waterproof Office Keyboard, Gray and White",$29.99,,,,,MageGee,,,MageGee,,,,,,,,,,,,,"Fast Charging,Waterproof",,B09M6342N7,,,,,Metal,,,"#4,423 in Computer Keyboards",,,17.56 x 7.13 x 1.73 inches,,,,"November 18, 2021",,,2.12 pounds,,,,,,,Gray & White,,,,,,25,,,"Laptop, PC",,,104,,,,Gaming,,,,,,"7 ratings
3.6 out of 5 stars",,,,,,,,,Wireless,
210,"Logitech MX Keys Mini Minimalist Wireless Illuminated Keyboard, Compact, Bluetooth, Backlit, USB-C, Compatible with Apple macOS, iOS, Windows, Linux, Android, Metal Build - Graphite",99,,,,,Logitech,,,Logitech,,,,,,,,,China,,,920-010388,"Backlit, Rechargeable",,B098JPSVKY,,,,,Metal,,,#16 in Computer Keyboards,,,,,,,"September 28, 2021",,,1.5 pounds,1 Lithium Polymer batteries required. (included),,,,,5.19 x 11.65 x 0.83 inches,Graphite,,,,,,,,,Laptop,,,,,,,Membrane,"Windows 10, 11 or later, Linux, Chrome OS, macOS, iPadOS, Android",Single Color,"Charging cable, Important Information Document, Keyboard",,,"1,098 ratings
4.6 out of 5 stars",,,,,,,,5.19 x 11.65 x 0.83 inches,Bluetooth,
211,"RedThunder K10 Wireless Gaming Keyboard, Rechargeable 3000mAh 2.4G LED Backlit Wireless Keyboard, Ergonomic Keyboard with Mechanical Feeling Keys for PC PS4 Xbox One Mac, Teclado Gamer, White",31,,,,,RedThunder,,,RedThunder,,,,,,,,,China,,,,Indicator Light,,B0951XXPC3,,,,,"Acrylonitrile Butadiene Styrene, Metal",,,"#1,950 in Video Games (See Top 100 in Video Games)
#112 in Mac Games & Accessories
#124 in PC Gaming Keyboards
#249 in Xbox One Games, Consoles & Accessories",,,17.56 x 5.87 x 1.89 inches,,,,"May 16, 2021",,,1.76 pounds,,,,,,,White,,,,,,104,,,"Gaming Console, PC",,,104,,,,Gaming,,,,,,"770 ratings
4.3 out of 5 stars",,,,,,,,,Wireless,
212,"GEEZER Wireless Keyboard and Mouse Combo, 2.4G Ultra-Slim with Palm Rest Less Noise 106 Keys Full-Size Colorful Keyboards, USB Nano Receiver and Silent Mice for Mac OS PC Laptops Computer - Blue",38,,,,,GEEZER,,,GEEZER,,,,,,,,,China,,,,,,B09WY9892F,,,,,,,,#395 in Computer Keyboard & Mouse Combos,,,17.53 x 7.37 x 2.72 inches,,,,"March 31, 2022",,,1.2 pounds,,,,,,,Blue,,,,,,,,,,,,,,,,,"Vista, Windows XP, Win 7, 2000, Win 10, Win 8",,,,AAA+AA Battery,"51 ratings
4.5 out of 5 stars",,,,,,,,,Wireless 2.4 G,
213,"NPET K32 Wireless Gaming Keyboard, LED Backlit Computer Keyboard with 10 Dedicated Multimedia Keys & Wrist Rest, 2.4G Rechargeable Ergonomic Keyboard for Windows/Desktop/Computer/PC",23,,Wireless Keyboard,,,NPET,,,NPET,,,,,,,,,China,,,K32,Non-slip,,B08YNNCBP7,,K32,,,,,,"#3,720 in Video Games (See Top 100 in Video Games)
#257 in PC Gaming Keyboards",,,,,,,"March 1, 2021",,,2.53 pounds,1 Lithium ion batteries required. (included),,,,,17.32 x 5.9 x 1.29 inches,Black,,,,,,114,,,"Windows 10, Windows 8, Windows 7, Windows Vista, or Windows XP, Limited Mac OS support",,,,,,,Wireless gaming keyboard,,,,,,"204 ratings
4.0 out of 5 stars",,,,No,,,,17.32 x 5.9 x 1.29 inches,"USB, USB-C",
214,"Wireless Keyboard, 2.4GHz Silent USB Keyboard for Laptop, Full Size Ergonomic Cordless Keyboard for Computer, Windows 7/8/10, PC, Desktop, and Smart TV (Black)",18,,Classic,,,RATEL Office,,,RATEL Office,,,,,,,,,China,,,,Ergonomic,,B09KCFZQN6,,,,,,,,#314 in Computer Keyboards,,,17.72 x 5.31 x 1.57 inches,,,,"October 26, 2021",,,1.26 pounds,,Mens,,,,,Black,,,,,,107,,,"Laptop, Smart TV, PC",,,,,,,USB,,Single Color,USB Receiver,,,"39 ratings
4.1 out of 5 stars",,,,,,,,,USB,
215,"RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, Mechanical Feel Anti-ghosting Keyboard + 7D 3200DPI Mice for PC Gamer (Black)",49,,,,,RedThunder,,,RedThunder,,,,,,,,,,,,,"Ergonomic, Backlit, Rechargeable",,B09BR46F63,,,,,,,,"#713 in Video Games (See Top 100 in Video Games)
#34 in PC Gaming Keyboards",,,17.68 x 8.78 x 1.89 inches,,,,"August 3, 2021",,,2.23 pounds,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,Battery Powered,"551 ratings
4.2 out of 5 stars",,,,,,,,,"Wireless, Usb",
216,"HyperX Alloy Elite 2 – Mechanical Gaming Keyboard, Software-Controlled Light & Macro Customization, ABS Pudding Keycaps, Media Controls, RGB LED Backlit, Linear Switch, HyperX Red",99,,Keyboard,,,HyperX,,,,,,,,,,,,,Alloy Elite 2,,,Travel,,,,,,,,,,"#1,639 in Video Games (See Top 100 in Video Games)
#103 in PC Gaming Keyboards",75,,,,,,,,,,,,,,,,Black,,,,,,104,,,Gaming Console,,,,,,,Gaming,,,,,,"944 ratings
4.8 out of 5 stars",,,,,,,,17.5 x 6.9 x 1.5 inches,USB,
217,"Anivia Colorful Wireless Keyboard and Mouse Combo, 2.4GHz Typewriter Style Retro Keyboard with Round Keycaps & Cute Wireless Mouse, USB Full Size Keyboard for Computer PC Laptop",36,,,,,Anivia,,,Anivia,,,,,,,,,China,,,,,,B09XXVC1SF,,,,,,,,#764 in Computer Keyboard & Mouse Combos,,,18.63 x 6 x 3.06 inches,,,,"April 14, 2022",,,2.7 pounds,,,,,,,Multi-listick,,,,,,,,,,,,,,,,,"Win10, Win8, Win 7, Windows 10/8/7, Mac os, Windows 98",,,,Battery Powered,"424 ratings
4.4 out of 5 stars",,,,,,,,,"RF, USB",
218,"Wireless Bluetooth Keyboard with Number Pad, 2 in 1 Wireless & Bluetooth Gotying Multi-Device Tablet Keyboard for ipad,Phone, iOS, Android, Mac and Windows (Black)",49,,,,,Gotying,,,Gotying,,,,,,,,,China,,,K620T,Ergonomic,,B09JK2MPR4,,K620T,,,,,,"#1,465 in Computer Keyboards",,,,,,,"October 15, 2021",,,1.5 pounds,,,,,,15.33 x 5.6 x 0.9 inches,Black,,,,,,105,,,"Mac，ipad, DELL, HP, Acer, Asus, Microsoft,",,,,,,,Wireless Bluetooth keyboard for ipad,,Single Color,Keycap Puller,,,"24 ratings
4.8 out of 5 stars",,,,No,,,,,Bluetooth,
219,"60% Mechanical Keyboard,MageGee Gaming Keyboard with Blue Switches and Sea Blue Backlit Small Compact 60 Percent Keyboard Mechanical, Portable 60 Percent Gaming Keyboard Gamer(Black Grey)",26,,,,,MageGee,,,MageGee,,,,,,,,,,,,,"Ergonomic, Backlit, Foldable",,B09FYY4J71,,,,,Metal,,,"#9,436 in Video Games (See Top 100 in Video Games)
#697 in PC Gaming Keyboards",,,,,,,"September 11, 2021",,,1.41 pounds,,,,,,12.36 x 5.24 x 1.69 inches,Black Grey Blue Switches,,,,,,61,,,,,,61,,,,Gaming,"Windows Vista, Windows XP, Mac os, Windows 2000",,,,,"77 ratings
4.5 out of 5 stars",,,,,,,,12.36 x 5.24 x 1.69 inches,,
220,"Aelfox Leather-Gel Keyboard Wrist Rest, Ergonomic Computer Wrist Support Laptop Wrist Pad for Keyboard - Help with Wrist Pain for Full Size Gaming Keyboard, Home, Office（17.32 x 2.76 x 0.79 inch）",14,,,,,Aelfox,,,Aelfox,,,,,,,,,,,,LEA#WRIST REST#KEYOARD,,,B08LV34G2W,,,,,"Leather, Gel",,,"#29,001 in Office Products (See Top 100 in Office Products)
#169 in Wrist Rests",,,,,Keyboard Rest,,"October 26, 2020",,,15.8 ounces,,,,"Leather, Gel",,17.32 x 2.76 x 0.79 inches,Keyboard Wrist Rest,,,,,,,,,,,LEA#WRIST REST#KEYOARD,,,,,,,,,,,"702 ratings
4.5 out of 5 stars",,,,,,,,17.32 x 2.76 x 0.79 inches,,
221,"USB 3.0 Hub 4-Port , USB hub for Laptop,Ps4 Keyboard and Mouse Adapter for Dell,MacBook Air,Surface Pro, Xbox,Flash Drive, Support for USB Interface Products [Charging Not Supported]",14,,,,,Heendzoo,,5 GB,Heendzoo,,,,,,,,,China,,,,,,B09YQYPT62,,,,,,,,#455 in USB Hubs,,,5.31 x 2.01 x 0.55 inches,,,,"May 13, 2022",,,1.13 ounces,,,,,"USB, USB 3.0, USB 2.0",,,,,,,,,,,"MP3 Players, USB Flash Drives, Mouse, Keyboards, Laptops",,,,,,,,,,,,,,,,,,,,4,,,
222,Tezarre TK61Pro Bluetooth/2.4G/USB 60% Mechanical Gaming Keyboard RGB Hotswappable PBT Keycaps Wireless/Wired Keyboard for Windows PC Gamer (Gateron Optical Brown),59,,PC gaming keyboard,,,Tezarre,,,Tezarre,,,,,,,,,,,,TK61Pro,Waterproof,,B09FPFZJ8L,,TK61Pro,,,,,,"#20,087 in Video Games (See Top 100 in Video Games)
#273 in GEM Box Microconsole
#359 in Xbox Accessories
#395 in Mac Gaming Keyboards",,,,,,,"September 8, 2021",,,1.4 pounds,1 Lithium Polymer batteries required. (included),,,,,11.5 x 3.9 x 1.7 inches,White,,,,,,61,,,"PS4, PS5,Xbox",,,,,,,Gaming,,,,,,"841 ratings
4.8 out of 5 stars",,,,No,,,,11.5 x 3.9 x 1.7 inches,Bluetooth,
223,"Backlit Wireless Keyboard and Mouse Rechargeable, 2.4Ghz Full Size Keyboard with Foldable Legs, Number Pad, SABLUTE Light Up Silent Mouse with 14 LED Backlit Modes for Windows, PC, Laptop",38,,,,,SABLUTE,,,SABLUTE,,,,,,,,,,,,"KB319, MC219",,,B09NC6YKB9,,,,,,,,#45 in Computer Keyboard & Mouse Combos,,,,,,,"January 23, 2022",,,1.45 pounds,1 Lithium Polymer batteries required. (included),,,,,17.44 x 5.35 x 1.18 inches,Black,,,,,,,,,,,,,,,,,"Linux, Chrome OS, Mac OS, Windows XP, Windows 7, Windows 8, Windows 10, Windows 11",,,,AC & Battery,"208 ratings
4.3 out of 5 stars",,,,,,,,,2.4Ghz RF Wireless Connection,
224,"RedThunder K84 Wireless Gaming Keyboard, Rechargeable 1850mAh 2.4G Ture RGB Backlit Keyboard, 84 Keys Ultra-Compact Mini Tenkeyless Keyboard for PC/Windows/Mac/Gaming/Typist(White)",35,,,,,RedThunder,,,RedThunder,,,,,,,,,China,,,,"Backlit, Rechargeable",,B09N9C4SK3,,,,,Acrylonitrile Butadiene Styrene,,,"#26,448 in Video Games (See Top 100 in Video Games)
#1,008 in Mac Accessories
#1,780 in Xbox One Accessories
#1,811 in PC Gaming Keyboards",,,13.43 x 6.18 x 1.73 inches,,,,"December 8, 2021",,,1.28 pounds,1 Lithium ion batteries required. (included),,,,,,White Wireless,,,,,,84,,,"Laptop, Gaming Console, PC",,,84,,,,Gaming,,,,,,"21 ratings
3.7 out of 5 stars",,,,,,,,,Wireless,
225,"iClever BK10 Bluetooth Keyboard, Universal Wireless Keyboard, Rechargeable Bluetooth 5.1 Multi Device Keyboard with Number Pad Full Size Stable Connection for Windows, iOS, Android",32,,,,,IClever,,,iClever,,,,,,,,,China,,,BK10,"Wireless, Bluetooth",,B07PV6NDB2,,,,,"Stainless Steel, Acrylonitrile Butadiene Styrene",,,#36 in Computer Keyboards,,,14.8 x 5.16 x 1.1 inches,,,,"April 11, 2019",,,1.11 pounds,1 Lithium ion batteries required. (included),,,,,,Black,,,,,,3,,,"Laptop, PC, Tablet, Smartphone",,,,,1 Millivolts,,Ergonomic,"Windows 7/8/10, Chrome OS, Mac OS, IOS, Android",,,,,"3,556 ratings
4.3 out of 5 stars",,,,No,"Television, Smartphone",,,,Bluetooth,
226,"Wireless Keyboard, J JOYACCESS 2.4G Slim and Compact Wireless Keyboard with Numeric Pad for Laptop, MacBook Air, Apple, Computer, PC(Black and Grey)",25,,,,,J JOYACCESS,,,J JOYACCESS,,,,,,,,,China,,,JKB2B,Travel,,B07K6MGLDL,,,,,,,,#65 in Computer Keyboards,,,,,,,"November 5, 2018",,,1.25 pounds,2 AA batteries required.,,,,,15.03 x 5.7 x 1.9 inches,Black,,,,,,102,,,"Laptop, PC",,,,,,,Multimedia,Windows XP,,,,,"6,199 ratings
4.3 out of 5 stars",,,,No,,,,15.03 x 5.7 x 1.9 inches,Wireless,
227,Cloud Nine C989M Ergonomic Mechanical Keyboard - Cherry MX Brown Switches - RGB Light Up LED Backlit with USB - Ergo Split Key Board with Macro for PC,189,,,,,Cloud Nine,,,Cloud Nine,,,,,,,,,,,,C989M,Lighting,,B084BP8T18,,,,,,,,"#3,009 in Video Games (See Top 100 in Video Games)
#200 in PC Gaming Keyboards",,,17.13 x 11.69 x 5 inches,,,,"January 29, 2020",,,6.1 pounds,,,,,,,RGB MX Brown,,,,,,,,,PC,,,,,,,Gaming,,,,,,"677 ratings
4.4 out of 5 stars",,,,,,,,,USB,
228,"GreenLaw Surface Pro 7 Keyboard, 7-Color Backlight, Multi-Gesture Touchpad, Bluetooth 5.1 Wireless, Detachable Slim Type Cover for Surface Pro 7+/ 7/6/ 5/4, Grey",68,,Wireless Keyboard,,,GreenLaw,,,GreenLaw,,,,,,,,,China,,,,"Detachable, Backlit, Bluetooth Wireless, Trackpad",,B09XN2C1XR,,,,,,,,#348 in Computer Keyboards,,,,,,,"April 11, 2022",,,1.63 pounds,,,,,,9.45 x 13.39 x 0.47 inches,Grey,,,,,,5,,,"Laptop, Tablet",,,,,,,Bluetooth,,,,,,"1 rating
5.0 out of 5 stars",,,,,,,,9.45 x 13.39 x 0.47 inches,Bluetooth,
229,RK ROYAL KLUDGE RK61 Wired 60% Mechanical Gaming Keyboard RGB Backlit Ultra-Compact Hot Swappable Red Switch Black,$54.99,,,,,RK ROYAL KLUDGE,,,RK ROYAL KLUDGE,,,,,,,,,China,,,,Lighting,,B0832LSV8N,,,,,,,,"#870 in Video Games (See Top 100 in Video Games)
#51 in PC Gaming Keyboards",,,13.11 x 6.02 x 1.85 inches,,,,"December 24, 2019",,,1.63 pounds,,,,,,,Black,,,,,,61,,,Gaming Console,,,61,,,,60% Gaming & Office Mechanical Keyboard,"Linux, Windows XP, Windows Vista",,,,,"8,773 ratings
4.7 out of 5 stars",,,,,,,,,Type-C USB Wired,
230,"Typewriter Style Mechanical Gaming Keyboard, White Retro Punk Gaming Keyboard with Blue Backlit, 104 Keys Blue Switch Wired Cute Keyboard, Round Keycaps for Windows/Mac/PC",36,,Steampunk,,,Camiysn,,,Camiysn,,,,,,,,,China,,,,Steampunk typewriter style white keyboard with blue backlit,,B096DS1R8P,New,,,,,,,"#1,505 in Video Games (See Top 100 in Video Games)
#93 in PC Gaming Keyboards",,,,,,,"June 2, 2021",,,2.13 pounds,,,,,,17.09 x 4.93 x 1.34 inches,,,,,,,104,,,Laptop/PC,,,,,,,Clicky mechanical keyboard for gaming and office,,Single Color,,,,"447 ratings
4.6 out of 5 stars",,,,,,,,17.09 x 4.93 x 1.34 inches,USB,
231,"GEEZER Wireless Keyboard and Mouse Combo, Green Retro Ultra-Slim 2.4G Full-Sized Colorful Keyboard with Wrist Rest, Cute Silent Mouse, for Laptop, Desktop, PC, Mac, Windows",38,,,,,GEEZER,,,GEEZER,,,,,,,,,China,,,G100,,,B09PDCKJ9J,,,,,,,,#671 in Computer Keyboard & Mouse Combos,,,17.48 x 7.44 x 2.8 inches,,,,"March 6, 2022",,,1.82 pounds,,,,,,,Green Colorful,,,,,,,,,,,,,,,,,"Windows 11, Windows 10, Windows 8, Windows 7, Windows XP, Windows vista, Mac OS",,,,Battery Powered,"51 ratings
4.5 out of 5 stars",,,,,,,,,"RF, USB Wireless",
232,"Wireless Keyboard for Windows, 2.4GHz Wireless Full Size Keyboard with Number Pad, Ultra Slim & Ergonomic Computer Keyboard for Computer, Desktop, PC, Laptop, Surface",15,,Wireless Keyboard,,,VineVoice,,,VineVoice,,,,,,,,,China,,,,Ergonomic,,B09S914RYC,,,,,,,,#97 in Computer Keyboards,,,,,,,"February 11, 2022",,,1.21 pounds,,,,,,17 x 6 x 1 inches,,,,,,,104,,,"Laptop, PC",,,104,,,,1,"Linux, Chrome OS, Android, Windows 10",,,,,"12 ratings
4.3 out of 5 stars",,,,,,,,17 x 6 x 1 inches,Wireless,
233,"Logitech Bluetooth Multi-Device Keyboard K480 - Wireless Connectivity - Bluetooth - English, French - QWERTY Layout - Black (Renewed)",$28.99,,,,,Logitech,,,Logitech,,,,,,,,,,,,920-006342,Foldable,,B00Y0BWQD4,,,,,,,,"#4,173 in Computer Keyboards",,,14.21 x 7.83 x 1.77 inches,,,,"June 18, 2019",,,1.86 pounds,,,,,,,Black,,,,,,,,,"Laptop, Tablet, Smartphone",,,,,,,Bluetooth,"Mac os x, Chrome OS, Windows 8, Windows 7, Windows 10",,,,,"11 ratings
4.0 out of 5 stars",,,,,"Tablet, Smartphone",,,,Wireless,
234,"Wireless Keyboard and Mouse Combo, MARVO 2.4G Ergonomic Wireless Computer Keyboard with Phone Tablet Holder, Silent Mouse with 6 Button, Compatible with MacBook, Windows",20,,,,,MARVO,,,MARVO,,,,,,,,,,,,,,,B09P33RWFJ,,,,,,,,#67 in Computer Keyboard & Mouse Combos,,,17.32 x 9.06 x 1.93 inches,,,,"December 23, 2021",,,1.72 pounds,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,Battery Powered,"78 ratings
4.1 out of 5 stars",,,,,,,,,RF,
235,"Mechanical Gaming Keyboard,104 Keys Ultra-Slim Rainbow LED Backlit USB Gaming Keyboard with Blue Switches,Double Shot ABS Keycaps/Anti-Ghosting/Spill-Resistant Mechanical Keyboard for PC Mac Computer",27,,Classic,,,RisoPhy,,,RisoPhy,,,,,,,,,China,,,,"Ergonomic, Backlit, Foldable, Comfortable clicky Blue switches, Water Resistant",,B09TR4Y91J,,,,Rainbow,,,,"#2,584 in Video Games (See Top 100 in Video Games)
#605 in PC Accessories",,,17.68 x 6.5 x 1.73 inches,,,,"March 2, 2022",,,1.85 pounds,,,,,,,Classic Black,,,,,,104,,,PC,,,,,,,Gaming&Daily work,,,"Use manual, Keycap Puller, Keyboard",,,"1 rating
3.0 out of 5 stars",,,,,,,,,USB-A,
236,Logitech G512 CARBON LIGHTSYNC RGB Mechanical Gaming Keyboard with GX Brown switches - Tactile,,,,,,Logitech G,,,Logitech G,,,,,,,,,,,,920-009342,,,B07QQB9J77,,,,,,,,"#9,102 in Video Games (See Top 100 in Video Games)
#667 in PC Gaming Keyboards",,,,,,,"December 12, 2019",,,2.49 pounds,,,,,,,Tactile,,,,,,,,,Gaming Console,,,,,,,Gaming,,,,,,"98 ratings
4.5 out of 5 stars",,,,,,,,17.9 x 1.34 inches,USB 2.0,
237,Wireless Keyboard and Mouse Combo - Rii Standard Office PC Keyboard and Optical Wireless Mice for Windows/Android TV Box/Raspberry Pi/PC/Laptop/PS3/4/,16,,,,,Rii,,,Rii,,,,,,,,,,,,,,,B07WJYVCCN,,,,,,,,#20 in Computer Keyboard & Mouse Combos,,,,,,,"August 14, 2019",,,1.37 pounds,,,,,,16.54 x 3.94 x 2.17 inches,Black,,,,,,,,,,,,,,,,,Windows 7,,,,Battery Powered,"1,799 ratings
4.2 out of 5 stars",,,,,,,,,USB,
238,"ELECOM -Japan Brand- USB 2.4GHz Wireless Basic Keyboard for Computer and Laptop, 109 Keys, Full-Size with Numeric Keypad, Quiet and Compact, Foldable Stand, Japanese Layout, Windows/Mac (TK-FDM106TBK)",19,,Keyboard,,,ELECOM,,,ELECOM,,,,,,,,,,TK-FDM106TBK,,TK-FDM106TBK,"Wireless, Water Resistant",,B07V4J22RH,,,,,,,,#368 in Computer Keyboards,,,,,,,"November 29, 2019",,,1.25 pounds,,,,,,6.73 x 18.15 x 1.54 inches,Keyboard,,,,,,104,,,PC,,,,,,,Ergonomic,"Windows 8.1, Windows XP, Windows 7",,USB Dongle,,,"1,790 ratings
4.2 out of 5 stars",,,,,,,,6.73 x 18.15 x 1.54 inches,Wireless,
239,Corsair K100 RGB Optical-Mechanical Gaming Keyboard - Corsair OPX RGB Optical-Mechanical Keyswitches - AXON Hyper-Processing Technology for 4X Faster Throughput - 44-Zone RGB LightEdge,192,,Optical,,,Corsair,,,Corsair,,,,,,,,,China,,,CH-912A01A-NA,Lighting,,B08HR74WV4,,,,,"Polybutylene Terephthalate, Aluminum",,,"#820 in Video Games (See Top 100 in Video Games)
#46 in PC Gaming Keyboards",,,,,,,"October 1, 2020",,,2.9 pounds,,,,,,19.3 x 3.2 x 9.4 inches,Black,,,,,,110,,,Gaming Console,,,,,,,Gaming,"Mac OS X 10.15 or newer, Windows 10",,,,,"2,225 ratings
4.7 out of 5 stars",,,,,PC,,,19.3 x 3.2 x 9.4 inches,Wired,
240,"Portable Card Slot 60% Wireless Mechanical Keyboard, Ultra-Compact 2.4G Rechargeable Gaming Keyboard, RGB Backlit Ergonomic Keyboard for Windows Mac PC Gamers (red Switch)",49,,,,,Kchibo,,,W/C,,,,,,,,,China,,,,Water Resistant,,B09TZPM2TC,,K64,,,,,,,,,,,,,"March 7, 2022",,,1.54 pounds,1 Lithium ion batteries required. (included),,,,,11.5 x 4.02 x 1.57 inches,WHITE,,,,,,63,,,笔记本电脑,,,,,,,机械,,RGB,USB 电缆,,,,,,,,,,,,Wireless,
241,"ROCCAT Vulcan TKL Mechanical PC Tactile Gaming Keyboard, Compact, Tenkeyless, Titan Switch Optical, RGB AIMO Lighting, Anodized Aluminum Top Plate, Detachable USB-C Cable, Low Profile Design, Black",$129.99,,Tactile,,,ROCCAT,,,ROCCAT,,,,,,,,,China,,,ROC-12-322,Lighting,,B08RHNB4HD,,,,,Aluminum,,,"#10,109 in Video Games (See Top 100 in Video Games)
#754 in PC Gaming Keyboards",,,17.2 x 8.5 x 3.54 inches,,,,"December 29, 2020",,,2.12 pounds,,,,,,,Black,,,,,,109,,,Gaming Console,,,,,,,Gaming,"Windows 8, Windows 7, Windows 10",,USB Cable,,,"207 ratings
4.7 out of 5 stars",,,,,PC,,,,USB-C,
242,"Durgod Taurus K310 Big Mechanical Gaming Keyboard - 104 Keys - Double Shot PBT - NKRO - USB Type C (Cherry Brown,Black,ANSI/US)",119,,,,,DURGOD,,,DURGOD,,,,,,,,,China,,,K310B104_Brown switch-C,Multimedia Keyboard,,B092HVJ32R,,,,,Polybutylene Terephthalate,,,"#35,301 in Video Games (See Top 100 in Video Games)
#2,347 in PC Gaming Keyboards",,,,,,,"April 14, 2021",,,2.73 pounds,,,,,,17.24 x 5.22 x 0.96 inches,Black,,,,,,104,,,,,,104,,,,Gaming,,,,,,"612 ratings
4.5 out of 5 stars",,,,No,,,,17.24 x 5.22 x 0.96 inches,USB,
243,"HyperX Alloy Origins - Mechanical Gaming Keyboard, Software-Controlled Light & Macro Customization, Compact Form Factor, RGB LED Backlit - Clicky HyperX Blue Switch,",109,,HyperX Blue,,,HyperX,,,HyperX,,,,,,,,,China,HyperX Alloy Origins,,4P5P0AA#ABA,Travel,,B08H6TWRF3,,,,,,,,"#10,913 in Video Games (See Top 100 in Video Games)
#817 in PC Gaming Keyboards",,,,,,,"October 5, 2020",,,2.4 pounds,,,,,,17.4 x 5.2 x 1.5 inches,Black,,,,,,104,,,"PS4, Gaming Console",,,,,,,Gaming,"Windows 8.1, Windows 8, Windows 7, Windows 10",,,,,"6,324 ratings
4.7 out of 5 stars",,,,,PC,,,17.4 x 5.2 x 1.5 inches,"USB, USB-C",
244,Corsair K100 RGB Optical-Mechanical Gaming Keyboard - Corsair OPX RGB Optical-Mechanical Keyswitches - AXON Hyper-Processing Technology for 4X Faster Throughput - 44-Zone RGB LightEdge,192,,Optical,,,Corsair,,,Corsair,,,,,,,,,China,,,CH-912A01A-NA,Lighting,,B08HR74WV4,,,,,"Polybutylene Terephthalate, Aluminum",,,"#820 in Video Games (See Top 100 in Video Games)
#46 in PC Gaming Keyboards",,,,,,,"October 1, 2020",,,2.9 pounds,,,,,,19.3 x 3.2 x 9.4 inches,Black,,,,,,110,,,Gaming Console,,,,,,,Gaming,"Mac OS X 10.15 or newer, Windows 10",,,,,"2,225 ratings
4.7 out of 5 stars",,,,,PC,,,19.3 x 3.2 x 9.4 inches,Wired,
245,"Wireless Keyboard and Mouse Combo, MARVO 2.4G Ergonomic Wireless Computer Keyboard with Phone Tablet Holder, Silent Mouse with 6 Button, Compatible with MacBook, Windows",20,,,,,MARVO,,,MARVO,,,,,,,,,,,,,,,B09P33RWFJ,,,,,,,,#67 in Computer Keyboard & Mouse Combos,,,17.32 x 9.06 x 1.93 inches,,,,"December 23, 2021",,,1.72 pounds,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,Battery Powered,"78 ratings
4.1 out of 5 stars",,,,,,,,,RF,
246,Razer BlackWidow V3 Pro Mechanical Wireless Gaming Keyboard: Green Mechanical Switches - Tactile & Clicky - Chroma RGB Lighting - Doubleshot ABS Keycaps - Transparent Switch Housing - Bluetooth/2.4GHz,139,,BlackWidow V3 Pro,,,Razer,,,Razer Inc.,,,,,,,,,China,Blackwidow V3 Pro,,RZ03-03530200-R3U1,"Wireless, Bluetooth",,B08FQTK1RW,,,,,,,,"#836 in Video Games (See Top 100 in Video Games)
#47 in PC Gaming Keyboards",,,,,,,"September 22, 2020",,,3.14 pounds,1 Lithium ion batteries required. (included),,,,,17.76 x 9.79 x 1.67 inches,Classic Black,,,,,,104,,,PC,,,,,,,Gaming,,,,,,"1,452 ratings
4.4 out of 5 stars",English,,,,PC,,,17.76 x 9.79 x 1.67 inches,"Bluetooth, USB",
